08:09:12:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
16:28:44:  CashBoxDareV2.3.py - D:\fenxi\新建文件夹 (4)\CashBoxDareV2.3.py (3.7.3)
16:29:39:  *CashBoxDareV2.3.py - D:\fenxi\新建文件夹 (4)\CashBoxDareV2.3.py (3.7.3)*
16:29:59:  SyntaxError
16:30:04:  *Python 3.7.3 Shell*
16:28:09:  Python 3.7.3 Shell
16:28:19:  LOG
16:28:24:  fenxi
16:28:29:  新建文件夹 (4)
16:28:34:  *Python 3.7.3 Shell*
16:28:39:  Python 3.7.3 Shell
16:28:44:  CashBoxDareV2.3.py - D:\fenxi\新建文件夹 (4)\CashBoxDareV2.3.py (3.7.3)
16:29:39:  *CashBoxDareV2.3.py - D:\fenxi\新建文件夹 (4)\CashBoxDareV2.3.py (3.7.3)*
16:29:59:  SyntaxError
16:30:04:  *Python 3.7.3 Shell*
16:30:09:  TheDateInfo.xls  [兼容模式] - Excel
16:30:14:  荆文波
16:31:24:  TheDateInfo.xls  [兼容模式] - Excel
16:31:59:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:32:04:  新建文件夹 (4)
16:32:09:  问题日志
16:32:14:  ID-30-1 10元新版人民币钞箱出钞倾斜拒钞过多（正向盘点20张，普通取款23张），大于拒钞5%。
16:32:34:  CashBoxDareV2.3.py - D:\fenxi\新建文件夹 (4)\CashBoxDareV2.3.py (3.7.3)
16:32:39:  ID-30-1 10元新版人民币钞箱出钞倾斜拒钞过多（正向盘点20张，普通取款23张），大于拒钞5%。
16:33:14:  问题日志
16:33:19:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
16:33:24:  荆文波
16:33:39:  Decode
16:33:44:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
16:34:04:  荆文波
16:34:09:  LOG
16:34:14:  删除 
16:34:19:  新建文件夹 (4)
16:34:24:  C:\Windows\py.exe
16:34:29:  锁屏状态
16:34:34:  TheDateInfo.xls  [兼容模式] - Excel
16:35:09:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:35:14:  ID-31 50元混合钞上腔出钞纸币因倾斜间距拒钞过多（倾斜22张，间距5张），且回收箱纸币存在大量折角，折角方向、位置基本一致。
16:35:19:  荆文波
16:35:24:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:35:29:  ID-31 50元混合钞上腔出钞纸币因倾斜间距拒钞过多（倾斜22张，间距5张），且回收箱纸币存在大量折角，折角方向、位置基本一致。
16:35:34:  跳转列表
16:35:44:  正在打开 - Excel
16:35:49:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
16:35:59:  Excel
16:36:04:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:37:54:  荆文波
16:43:49:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:43:59:  张开发,荆文波
16:44:04:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:44:09:  荆文波
16:44:14:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:44:09:  荆文波
16:44:14:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:45:44:  荆文波
16:45:59:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:47:14:  TCR调测工具 V3.36
16:47:19:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
16:47:54:  荆文波
16:47:59:  TCR调测工具 V3.36
16:49:44:  钞箱配置
16:50:09:  TCR调测工具 V3.36
16:50:14:  eSpace
16:50:29:  张开发,荆文波
16:50:44:  TCR调测工具 V3.36
16:51:19:  收取邮件 - 张开发
16:51:24:  本地磁盘 (D:)
16:51:29:  新建文件夹 (4)
16:51:34:  20200818.csv - Excel
16:53:09:  eSpace Login
16:53:19:  荆文波
16:53:39:  20200818.csv - Excel
16:54:09:  荆文波
16:54:14:  20200818.csv - Excel
16:54:29:  桌面整理
16:54:39:  所有笔记本 - 张开发 - 印象笔记
16:54:44:  2-财务分配 - 张开发 - 印象笔记
16:54:54:  本地磁盘 (C:)
16:54:59:  alipay_record_20200909_1400
16:55:04:  alipay_record_20200810_0855
16:55:09:  本地磁盘 (D:)
16:55:14:  新建文件夹 (4)
16:55:19:  TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)
16:55:59:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:56:39:  Save Before Run or Check
16:56:44:  新建文件夹 (4)
16:56:49:  *Python 3.7.3 Shell*
16:56:54:  TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)
16:56:59:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:57:09:  20200818.csv - Excel
16:57:14:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:57:34:  20200818.csv - Excel
16:57:39:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:57:44:  于斌1
16:57:49:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:58:29:  20200818.csv - Excel
16:58:44:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:59:34:  Subversion
16:59:39:  alipay_record_20200810_0855
16:59:44:  TheOneForExcel - 副本.py - C:\Users\zhangkaifa\Downloads\alipay_record_20200810_0855\TheOneForExcel - 副本.py (3.7.3)
16:59:49:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:58:29:  20200818.csv - Excel
16:58:44:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
16:59:34:  Subversion
16:59:39:  alipay_record_20200810_0855
16:59:44:  TheOneForExcel - 副本.py - C:\Users\zhangkaifa\Downloads\alipay_record_20200810_0855\TheOneForExcel - 副本.py (3.7.3)
16:59:49:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
17:00:39:  20200818.csv - Excel
17:00:54:  *TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)*
17:02:09:  TheOneForExcel - 副本.py - D:\fenxi\新建文件夹 (4)\TheOneForExcel - 副本.py (3.7.3)
17:02:49:  新建文本文档.exe - 快捷方式
17:02:54:  密码锁
17:03:04:  新建文件夹 (4)
17:03:09:  印象笔记
17:03:19:  20200818.csv - 印象笔记
17:03:24:  于斌1
17:03:29:  新建文本文档.exe - 快捷方式
17:03:39:  于斌1
17:03:44:  运行
17:03:49:  日报
17:03:54:  周报及工作日志.xlsx - Excel
17:04:49:  锁屏状态
