08:08:07:  高逸
15:28:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:28:42:  MindMaster Pro
15:29:43:  MindMaster 发现新版本。
15:30:03:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:28:07:  锁屏状态
15:28:12:  新标签页 - Google Chrome
15:28:17:  eSpace
15:28:22:  桌面整理
15:28:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:28:42:  MindMaster Pro
15:29:43:  MindMaster 发现新版本。
15:30:03:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:30:08:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:30:13:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:30:23:  打开文件夹
15:30:28:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:31:18:  扩展: Docker - 44 - Visual Studio Code [管理员]
15:31:28:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:31:33:  桌面整理
15:31:38:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h • (44) - Sublime Text (UNREGISTERED)
15:31:43:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:33:24:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:33:29:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:33:39:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:42:15:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:42:25:  设置 - 44 - Visual Studio Code [管理员]
15:42:30:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:51:35:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:51:40:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:51:45:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:52:25:  设置 - 44 - Visual Studio Code [管理员]
15:52:35:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:53:00:  荆文波
15:53:30:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:55:05:  下腔小面额出钞结构拒钞过多
15:55:10:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
15:55:15:  荆文波
15:55:25:  20201014
15:55:45:  本地磁盘 (D:)
15:55:50:  爆仓问题(1)
15:55:55:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:56:50:  爆仓问题(1)
15:56:55:  荆文波
15:57:00:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:58:20:  荆文波
15:58:25:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:58:30:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:58:35:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:58:40:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:58:55:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:00:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:05:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:10:  荆文波
15:59:20:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:55:  荆文波
15:58:20:  荆文波
15:58:25:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:58:30:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:58:35:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:58:40:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
15:58:55:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:00:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:05:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:10:  荆文波
15:59:20:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
15:59:55:  荆文波
16:00:10:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:00:25:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:00:30:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:00:45:  新建文本文档.exe - 快捷方式
16:00:50:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:01:20:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
16:01:25:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:02:55:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:03:00:  Decode
16:03:05:  Box_3__BTCR-1100200600510420_20201014144936.log - DRB.tat* - TextAnalysisTool.NET
16:03:40:  荆文波
16:03:50:  K64_BTCR-1100200600510420_20201014144936
16:03:55:  K64_BTCR-1100200600510420_20201014145304
16:04:00:  Box_3__BTCR-1100200600510420_20201014144835.log - DRB.tat* - TextAnalysisTool.NET
16:04:05:  LOG
16:04:10:  Box_3__BTCR-1100200600510420_20201014144727.log - DRB.tat* - TextAnalysisTool.NET
16:04:15:  K64_BTCR-1100200600510420_20201014144638
16:04:20:  LOG
16:04:25:  Box_3__BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:04:45:  K64_BTCR-1100200600510420_20201014144129
16:04:50:  Box_3__BTCR-1100200600510420_20201014144129.log - DRB.tat* - TextAnalysisTool.NET
16:05:00:  K64_BTCR-1100200600510420_20201014144020
16:05:10:  K64-_BTCR-1100200600510420_20201014144020.log - DRB.tat* - TextAnalysisTool.NET
16:05:25:  荆文波
16:05:35:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:05:40:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:05:45:  新建文本文档.exe - 快捷方式
16:05:50:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:05:55:  ● CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:06:00:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:06:05:  设置 - 44 - Visual Studio Code [管理员]
16:06:10:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:07:25:  荆文波
16:07:30:  K64-_BTCR-1100200600510420_20201014144020.log - DRB.tat* - TextAnalysisTool.NET
16:07:35:  LOG
16:07:40:  K64-_BTCR-1100200600510420_20201014143836.log - DRB.tat* - TextAnalysisTool.NET
16:10:25:  Edit Filter
16:10:30:  K64-_BTCR-1100200600510420_20201014143836.log - DRB.tat* - TextAnalysisTool.NET
16:10:35:  Edit Filter
16:10:40:  K64-_BTCR-1100200600510420_20201014143836.log - DRB.tat* - TextAnalysisTool.NET
16:11:00:  LOG
16:11:05:  K64_BTCR-1100200600510420_20201014143017
16:11:10:  K64-_BTCR-1100200600510420_20201014143017.log - DRB.tat* - TextAnalysisTool.NET
16:11:26:  LOG
16:11:31:  K64-_BTCR-1100200600510420_20201014144936.log - DRB.tat* - TextAnalysisTool.NET
16:11:36:  K64_BTCR-1100200600510420_20201014144936
16:11:41:  K64-_BTCR-1100200600510420_20201014144835.log - DRB.tat* - TextAnalysisTool.NET
16:12:26:  K64_BTCR-1100200600510420_20201014144835
16:12:31:  Box_3__BTCR-1100200600510420_20201014144936.log - DRB.tat* - TextAnalysisTool.NET
16:12:46:  荆文波
16:12:56:  K64_BTCR-1100200600510420_20201014144936
16:13:01:  K64_BTCR-1100200600510420_20201014144309
16:13:06:  K64-_BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:13:11:  荆文波
16:13:16:  K64_BTCR-1100200600510420_20201014144129
16:13:21:  K64-_BTCR-1100200600510420_20201014144129.log - DRB.tat* - TextAnalysisTool.NET
16:13:41:  K64_BTCR-1100200600510420_20201014144309
16:13:46:  LOG
16:13:51:  K64-_BTCR-1100200600510420_20201014144129.log - DRB.tat* - TextAnalysisTool.NET
16:14:01:  K64_BTCR-1100200600510420_20201014144309
16:14:06:  Box_3__BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:14:16:  荆文波
16:14:21:  K64_BTCR-1100200600510420_20201014144309
16:14:26:  K64-_BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:14:31:  LOG
16:14:06:  Box_3__BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:14:16:  荆文波
16:14:21:  K64_BTCR-1100200600510420_20201014144309
16:14:26:  K64-_BTCR-1100200600510420_20201014144309.log - DRB.tat* - TextAnalysisTool.NET
16:14:31:  LOG
16:15:06:  荆文波
16:15:31:  LOG
16:15:46:  K64_BTCR-1100200600510420_20201014112102
16:15:51:  K64-_BTCR-1100200600510420_20201014112102.log - DRB.tat* - TextAnalysisTool.NET
16:15:56:  LOG
16:16:01:  K64-_BTCR-1100200600510420_20201014112017.log - DRB.tat* - TextAnalysisTool.NET
16:16:06:  LOG
16:16:11:  K64_BTCR-1100200600510420_20201014112330
16:16:16:  K64-_BTCR-1100200600510420_20201014112330.log - DRB.tat* - TextAnalysisTool.NET
16:16:21:  荆文波
16:16:31:  LOG
16:16:36:  K64-_BTCR-1100200600510420_20201014112102.log - DRB.tat* - TextAnalysisTool.NET
16:16:56:  荆文波
16:17:01:  K64-_BTCR-1100200600510420_20201014112102.log - DRB.tat* - TextAnalysisTool.NET
16:17:11:  K64_BTCR-1100200600510420_20201014112102
16:17:16:  LOG
16:17:21:  K64_BTCR-1100200600510420_20201014112226
16:17:26:  K64-_BTCR-1100200600510420_20201014112226.log - DRB.tat* - TextAnalysisTool.NET
16:17:31:  K64-_BTCR-1100200600510420_20201014112330.log - DRB.tat* - TextAnalysisTool.NET
16:17:36:  荆文波
16:18:06:  K64_BTCR-1100200600510420_20201014112434
16:18:11:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:18:16:  荆文波
16:18:21:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:18:31:  LOG
16:18:36:  K64_BTCR-1100200600510420_20201014133020
16:18:41:  Box_3__BTCR-1100200600510420_20201014133020.log - DRB.tat* - TextAnalysisTool.NET
16:19:06:  K64_BTCR-1100200600510420_20201014112434
16:19:11:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:19:26:  锁屏状态
16:19:31:  K64_BTCR-1100200600510420_20201014112330
16:19:36:  K64-_BTCR-1100200600510420_20201014112330.log - [No filter file] - TextAnalysisTool.NET
16:19:41:  K64-_BTCR-1100200600510420_20201014112330.log - DRB.tat - TextAnalysisTool.NET
16:19:51:  Edit Filter
16:19:56:  K64-_BTCR-1100200600510420_20201014112330.log - DRB.tat* - TextAnalysisTool.NET
16:20:01:  Edit Filter
16:20:11:  K64_BTCR-1100200600510420_20201014112330
16:20:16:  LOG
16:20:21:  K64-_BTCR-1100200600510420_20201014112330.log - DRB.tat* - TextAnalysisTool.NET
16:20:26:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:20:41:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:20:51:  「开始」菜单
16:21:01:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:21:16:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:21:26:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:22:26:  荆文波
16:22:56:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:23:16:  荆文波
16:23:21:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:23:31:  荆文波
16:27:46:  Box_3__BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:28:01:  荆文波
16:28:21:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:28:26:  荆文波
16:29:46:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:28:21:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:28:26:  荆文波
16:29:46:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:33:36:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:33:41:  K64-_BTCR-1100200600510420_20201014112434.log - DRB.tat* - TextAnalysisTool.NET
16:33:46:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:33:51:  CheckTheBookTital.py - 44 - Visual Studio Code [管理员]
16:34:06:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:46:16:  计算器
16:46:26:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
16:47:41:  新建文本文档.exe - 快捷方式
16:55:16:  关于激活使用医保电子凭证明白纸.pdf
16:55:36:  桌面整理
16:55:46:  跳转列表
16:55:51:  桌面整理
16:55:56:  关于激活使用医保电子凭证明白纸.pdf - Adobe Reader
17:02:31:  所有笔记本 - 张开发 - 印象笔记
17:02:41:  印象笔记
17:03:11:  所有笔记本 - 张开发 - 印象笔记
17:03:26:  ComponentCtrl.c - 44 - Visual Studio Code [管理员]
17:03:31:  锁屏状态
