08:00:15:  回复: 回复: 美国专利分析
16:27:28:  张开发,程明昌
16:28:03:  LowerPlateCtrl.c - TortoiseMerge
16:28:18:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:28:28:  PressurePlateCtrl.c - TortoiseMerge
16:28:33:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:28:38:  UpperPlateCtrl.c - TortoiseMerge
16:28:43:  程明昌
16:28:48:  「开始」菜单
16:28:53:  程明昌
16:29:03:  「开始」菜单
16:29:08:  远程桌面连接
16:29:33:  Windows 安全
16:29:53:  UpperPlateCtrl.c - TortoiseMerge
16:29:58:  TortoiseMerge
16:30:03:  UpperPlateCtrl.c - TortoiseMerge
16:28:18:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
16:28:28:  PressurePlateCtrl.c - TortoiseMerge
16:28:33:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:28:38:  UpperPlateCtrl.c - TortoiseMerge
16:28:43:  程明昌
16:28:48:  「开始」菜单
16:28:53:  程明昌
16:29:03:  「开始」菜单
16:29:08:  远程桌面连接
16:29:33:  Windows 安全
16:29:53:  UpperPlateCtrl.c - TortoiseMerge
16:29:58:  TortoiseMerge
16:30:03:  UpperPlateCtrl.c - TortoiseMerge
16:30:08:  Separate.c - TortoiseMerge
16:30:18:  TortoiseMerge
16:30:23:  State.c - TortoiseMerge
16:32:08:  TortoiseMerge
16:32:18:  State.c - TortoiseMerge
16:32:23:  TortoiseMerge
16:32:28:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:32:33:  State.c - TortoiseMerge
16:32:48:  TortoiseMerge
16:32:53:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:32:58:  CapDriver.c - TortoiseMerge
16:33:28:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:33:33:  StepMotorDriver.c - TortoiseMerge
16:34:43:  TortoiseMerge
16:34:48:  DebugConfig.h - TortoiseMerge
16:34:53:  Bldc.c - TortoiseMerge
16:35:03:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:35:13:  Lock.c - TortoiseMerge
16:35:18:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:35:23:  Log.c - TortoiseMerge
16:35:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:35:48:  LowerPlate.c - TortoiseMerge
16:36:08:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:36:13:  PressurePlate.c - TortoiseMerge
16:36:53:  TortoiseMerge
16:36:58:  UpperPlate.c - TortoiseMerge
16:37:28:  Selector.c - TortoiseMerge
16:37:33:  Sensor.c - TortoiseMerge
16:37:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:37:48:  于斌1
16:38:48:  LowerPlate.c - TortoiseMerge
16:38:53:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:38:58:  StepMotor.c - TortoiseMerge
16:39:03:  StepMotor.h - TortoiseMerge
16:39:08:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:39:13:  TortoiseMerge
16:39:18:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:39:43:  PaperManage.c - TortoiseMerge
16:40:28:  于斌1
16:40:38:  PaperManage.c - TortoiseMerge
16:40:43:  LowerPlateCtrl.c - TortoiseMerge
16:40:58:  PressurePlateCtrl.c - TortoiseMerge
16:41:08:  UpperPlateCtrl.c - TortoiseMerge
16:41:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:41:48:  Separate.c - TortoiseMerge
16:42:33:  State.c - TortoiseMerge
16:44:08:  CapDriver.c - TortoiseMerge
16:44:58:  StepMotorDriver.c - TortoiseMerge
16:44:08:  CapDriver.c - TortoiseMerge
16:44:58:  StepMotorDriver.c - TortoiseMerge
16:45:18:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:45:23:  DebugConfig.h - TortoiseMerge
16:45:28:  Lock.h - TortoiseMerge
16:45:43:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:45:48:  Lock.h - TortoiseMerge
16:45:53:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:46:13:  PressurePlate.c - TortoiseMerge
16:46:48:  UpperPlate.c - TortoiseMerge
16:48:08:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:48:13:  Selector.c - TortoiseMerge
16:49:18:  StepMotor.c - TortoiseMerge
16:49:33:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
16:49:38:  DRB-PRESS
16:49:43:  远程桌面连接
16:49:48:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:49:53:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
16:50:13:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:50:18:  DRB-PRESS
16:50:23:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:50:28:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:50:53:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:50:58:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:52:33:  程明昌
16:52:43:  DRB-PRESS
16:52:48:  程明昌
16:52:53:  DRB-PRESS
16:52:58:  sonarsource.sonarlint-vscode-for-pclint-1.16.0-SNAPSHOT
16:53:03:  压缩文件名和参数
16:53:08:  extensions
16:53:18:  正在创建压缩文件 sonarsource.sonarlint-vscode-for-pclint-1.16.0-SNAPSHOT.rar
16:53:23:  程明昌
16:53:28:  extensions
16:53:38:  程明昌
16:53:48:  extensions
16:53:53:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:53:58:  HistoryRecord.c - TortoiseMerge
16:54:03:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:54:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
16:54:23:  正在创建压缩文件 sonarsource.sonarlint-vscode-for-pclint-1.16.0-SNAPSHOT.rar
16:54:28:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:54:33:  PaperManage.c - TortoiseMerge
16:54:43:  程明昌
16:54:48:  LowerPlateCtrl.c - TortoiseMerge
16:54:53:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:55:08:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:55:33:  程明昌
16:55:53:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:55:58:  PressurePlateCtrl.c - TortoiseMerge
16:56:03:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:56:08:  State.c - TortoiseMerge
16:56:18:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:56:23:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:56:53:  程明昌
16:56:58:  extensions
16:57:03:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:57:08:  程明昌
16:57:23:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:57:28:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:59:03:  StepMotorDriver.c - TortoiseMerge
16:59:13:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:59:23:  Lock.h - TortoiseMerge
16:59:28:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
16:59:43:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:59:58:  LowerPlate.c - TortoiseMerge
16:59:03:  StepMotorDriver.c - TortoiseMerge
16:59:13:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:59:23:  Lock.h - TortoiseMerge
16:59:28:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
16:59:43:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
16:59:58:  LowerPlate.c - TortoiseMerge
17:00:08:  PressurePlate.c - TortoiseMerge
17:00:13:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:00:38:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:00:43:  UpperPlate.c - TortoiseMerge
17:00:48:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:01:48:  Selector.c - TortoiseMerge
17:01:53:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:01:58:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:02:08:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:02:13:  UpperPlate.c - TortoiseMerge
17:02:18:  StepMotor.c - TortoiseMerge
17:02:23:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:02:33:  SystemConfig.h - TortoiseMerge
17:02:38:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:02:43:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
17:04:08:  UpperPlate.c - TortoiseMerge
17:04:13:  Update.c - TortoiseMerge
17:04:18:  D:\00-06\DRB-PRESS - 提交 - TortoiseSVN
17:04:23:  D:\00-06\DRB-PRESS\BR-1-CashBox1T2-Press.txt • (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:04:28:  锁屏状态
