08:00:32:  自动播放
10:42:21:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:42:56:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:43:01:  data:, - Google Chrome
10:43:06:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:43:26:  YOPmail - Google Chrome
10:43:41:  *Python 3.7.3 Shell*
10:43:46:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:43:51:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:46:06:  YOPmail - Google Chrome
10:46:11:  百度一下，你就知道 - Google Chrome
10:46:16:  selenium 点击后不等待加载完成执行下一步_百度搜索 - Google Chrome
10:46:26:  selenium使用有用户名密码的代理IP - 知乎 - Google Chrome
10:47:01:  selenium 代理IP 密码_百度搜索 - Google Chrome
10:47:11:  (4条消息) selenium代理IP验证用户名密码方法详解_Luzaofa的博客-CSDN博客 - Google Chrome
10:47:41:  selenium 代理IP 密码_百度搜索 - Google Chrome
10:47:46:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
10:48:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:50:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:50:46:  无标题 - Google Chrome
10:50:51:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:51:06:  YOPmail - Google Chrome
10:51:56:  *Python 3.7.3 Shell*
10:54:31:  所有笔记本 - 张开发 - 印象笔记
10:54:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:54:56:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:55:06:  Save Before Run or Check
10:55:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:55:41:  *Python 3.7.3 Shell*
10:55:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:55:56:  YOPmail - Google Chrome
10:56:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:56:56:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:57:06:  selenium 代理IP 密码_百度搜索 - Google Chrome
10:57:11:  selenium 刷新_百度搜索 - Google Chrome
10:57:16:  selenium页面刷新_wushuai的博客-CSDN博客_selenium 刷新 - Google Chrome
10:57:21:  (4条消息) selenium 刷新_MyDriverC-CSDN博客_selenium 刷新 - Google Chrome
10:57:31:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:57:41:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:57:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:58:01:  YOPmail - Google Chrome
10:58:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:58:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:58:41:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:58:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:58:56:  YOPmail - Google Chrome
10:59:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:59:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:59:51:  data:, - Google Chrome
10:59:56:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:00:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:58:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:58:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:58:41:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
10:58:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
10:58:56:  YOPmail - Google Chrome
10:59:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
10:59:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
10:59:51:  data:, - Google Chrome
10:59:56:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:00:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:00:06:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:00:11:  YOPmail - Google Chrome
11:00:26:  *Python 3.7.3 Shell*
11:00:31:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:00:41:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
11:00:46:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:00:56:  *Python 3.7.3 Shell*
11:01:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:01:46:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:02:11:  (4条消息) selenium 刷新_MyDriverC-CSDN博客_selenium 刷新 - Google Chrome
11:02:16:  selenium get_百度搜索 - Google Chrome
11:02:21:  Python selenium get页面很慢时，处理办法_标题-CSDN博客 - Google Chrome
11:02:26:  (4条消息) Python selenium get页面很慢时，处理办法_标题-CSDN博客 - Google Chrome
11:03:11:  新标签页 - Google Chrome
11:03:16:  selenium get很卖_百度搜索 - Google Chrome
11:03:21:  selenium get很慢_百度搜索 - Google Chrome
11:03:46:  Python selenium get页面很慢时，处理办法 - 整合侠 - 博客园 - Google Chrome
11:04:16:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:04:31:  Python selenium get页面很慢时，处理办法 - 整合侠 - 博客园 - Google Chrome
11:04:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:04:46:  *Python 3.7.3 Shell*
11:04:51:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:04:56:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:05:01:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:05:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:05:11:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:05:16:  *Python 3.7.3 Shell*
11:05:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:05:36:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:05:46:  Python selenium get页面很慢时，处理办法 - 整合侠 - 博客园 - Google Chrome
11:06:16:  selenium get很慢_百度搜索 - Google Chrome
11:06:21:  (4条消息) Python selenium get页面很慢时，处理办法_标题-CSDN博客 - Google Chrome
11:06:26:  selenium 页面加载慢，超时的解决方案 - darkspr - 博客园 - Google Chrome
11:08:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:08:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:08:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:08:21:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:08:26:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:08:31:  Python 3.7.3 Shell
11:08:36:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:08:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:08:56:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:09:01:  Python 3.7.3 Shell
11:09:11:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:09:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:09:46:  Save Before Run or Check
11:09:51:  data:, - Google Chrome
11:09:56:  Python 3.7.3 Shell
11:10:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:10:21:  无标题 - Google Chrome
11:10:26:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:10:31:  Python 3.7.3 Shell
11:10:46:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:10:51:  selenium get很慢_百度搜索 - Google Chrome
11:10:56:  selenium WebDriverWait - 致远方 - 博客园 - Google Chrome
11:12:26:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:12:31:  selenium WebDriverWait - 致远方 - 博客园 - Google Chrome
11:12:51:  【01】selenium之WebDriverWait类（等待机制） - 清宝贝，加油 - 博客园 - Google Chrome
11:13:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:13:51:  data:, - Google Chrome
11:13:56:  Python 3.7.3 Shell
11:14:01:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:14:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:14:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:14:16:  data:, - Google Chrome
11:14:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:14:26:  *Python 3.7.3 Shell*
11:14:51:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:14:56:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:14:06:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:14:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:14:16:  data:, - Google Chrome
11:14:21:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:14:26:  *Python 3.7.3 Shell*
11:14:51:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:14:56:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:15:06:  data:, - Google Chrome
11:15:11:  Python 3.7.3 Shell
11:15:26:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:15:51:  跳转列表
11:16:26:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:16:36:  【01】selenium之WebDriverWait类（等待机制） - 清宝贝，加油 - 博客园 - Google Chrome
11:16:41:  desired_capabilities_百度搜索 - Google Chrome
11:16:46:  使用selenium.webdriver.common.desired_capabilities获取浏览器日志 - miss_林 - 博客园 - Google Chrome
11:16:56:  selenium 页面加载慢，超时的解决方案 - darkspr - 博客园 - Google Chrome
11:17:06:  desired_capabilities_百度搜索 - Google Chrome
11:17:21:  Selenium之Chrome选项和Desiredcapabilities: 禁用广告,无痕浏览,无头模式 - 云+社区 - 腾讯云 - Google Chrome
11:17:51:  desired_capabilities_百度搜索 - Google Chrome
11:18:11:  https://www.baidu.com/link?url=_X_4JuLWpDUAEZlllq3F4d5XeXP8nm8s5VifEJsI-QynPutehIfiX-EhHqBU0v3vI3KioT9AF1phzOYCOzWA0LuAm8IN5q8YeYyB0w-bcK_&wd=&eqid=e7eb774200023cf6000000025fbf1e70 - Google Chrome
11:18:16:  (4条消息) Selenium Webdriver Desired Capabilities_a5650892的博客-CSDN博客 - Google Chrome
11:18:21:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:18:26:  Selenium pageLoadStrategy_百度搜索 - Google Chrome
11:18:31:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:18:41:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:18:46:  *Python 3.7.3 Shell*
11:18:51:  Python 3.7.3 Shell
11:18:56:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:19:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:19:06:  *Python 3.7.3 Shell*
11:19:11:  data:, - Google Chrome
11:19:16:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:19:36:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:19:41:  data:, - Google Chrome
11:19:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:19:56:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:20:06:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:20:21:  data:, - Google Chrome
11:20:26:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:20:31:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:20:41:  *Python 3.7.3 Shell*
11:20:46:  data:, - Google Chrome
11:20:51:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:21:46:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:21:51:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:21:56:  data:, - Google Chrome
11:22:01:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:22:11:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:22:21:  data:, - Google Chrome
11:22:31:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:22:36:  YOPmail - Google Chrome
11:22:56:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:23:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:23:16:  跳转列表
11:23:21:  data:, - Google Chrome
11:23:26:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:23:31:  YOPmail - Google Chrome
11:23:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:24:16:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:24:21:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:24:26:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:24:41:  YOPmail - Google Chrome
11:24:56:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:25:01:  data:, - Google Chrome
11:25:06:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:25:16:  YOPmail - Google Chrome
11:25:26:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:25:31:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:26:31:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:26:36:  data:, - Google Chrome
11:26:41:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:27:01:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
11:27:46:  Python 3.7.3 Shell
11:28:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:28:06:  data:, - Google Chrome
11:28:11:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:28:16:  YOPmail - Google Chrome
11:28:26:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:28:31:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:29:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:29:06:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:29:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:28:06:  data:, - Google Chrome
11:28:11:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:28:16:  YOPmail - Google Chrome
11:28:26:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:28:31:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:29:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:29:06:  (4条消息) ChromeDriver PageLoadStrategy 使用配置_悟能的师兄的专栏-CSDN博客 - Google Chrome
11:29:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:30:06:  Selenium pageLoadStrategy_百度搜索 - Google Chrome
11:30:16:  https://www.baidu.com/link?url=rIL_Gc1roAcp0vb4Cbzop3Hx_gt3CZOk_rLTwEcO6TxWsGZ71rKb3fLeHHllds1L5jNO_nBKFblGegjHGLZ_yq&wd=&eqid=902e57f00002ebd5000000025fbf2142 - Google Chrome
11:30:21:  (4条消息) selenium模块中WebDriverWait等设置等待时间和超时时间_Ren_ger的博客-CSDN博客 - Google Chrome
11:31:21:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:31:26:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:31:31:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:31:36:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:31:46:  YOPmail - Google Chrome
11:31:51:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:31:56:  Save Before Run or Check
11:32:01:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:32:06:  YOPmail - Google Chrome
11:32:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:32:31:  *Python 3.7.3 Shell*
11:32:51:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
11:33:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:33:21:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:33:26:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:33:31:  *Python 3.7.3 Shell*
11:33:36:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
11:33:41:  *Python 3.7.3 Shell*
11:34:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:34:21:  *Python 3.7.3 Shell*
11:34:36:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:35:36:  Save Before Run or Check
11:35:41:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:35:46:  *Python 3.7.3 Shell*
11:36:06:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
11:36:21:  Kill?
11:36:26:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
11:36:31:  本地磁盘 (D:)
11:36:36:  44
11:36:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:36:51:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:36:56:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:37:01:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:37:26:  data:, - Google Chrome
11:37:31:  K64_12345678_20201126094612.log - [No filter file]* - TextAnalysisTool.NET
11:37:41:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:37:46:  YOPmail - Google Chrome
11:37:51:  跳转列表
11:37:56:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:38:01:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:38:06:  YOPmail - Google Chrome
11:38:16:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:38:36:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:38:46:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:38:51:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:38:56:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:39:01:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
11:39:11:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:39:21:  Save Before Run or Check
11:39:26:  data:, - Google Chrome
11:39:31:  YOPmail : 临时、匿名的免费邮箱地址。 - Google Chrome
11:39:41:  YOPmail - Google Chrome
11:39:56:  Python 3.7.3 Shell
11:40:01:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:40:11:  *weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)*
11:40:16:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
11:40:21:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
11:40:26:  锁屏状态
13:06:37:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:06:42:  iTunes
13:06:47:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
13:06:52:  (4条消息) selenium模块中WebDriverWait等设置等待时间和超时时间_Ren_ger的博客-CSDN博客 - Google Chrome
13:07:02:  所有笔记本 - 张开发 - 印象笔记
13:07:27:  新建笔记本
13:07:42:  桌面整理
13:08:12:  weibopinglun
13:08:17:  开始
13:08:22:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:08:32:  所有笔记本 - 张开发 - 印象笔记
13:08:42:  新建文件夹 (3)
13:08:52:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:09:12:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:09:17:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:09:22:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:09:42:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:09:47:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:09:57:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:10:02:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:10:27:  *Python 3.7.3 Shell*
13:10:37:  data:, - Google Chrome
13:10:42:  https://accounts.binancezh.pro/cn/register - Google Chrome
13:10:47:  注册 | 币安 - Google Chrome
13:10:52:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:11:17:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:11:22:  Save Before Run or Check
13:11:27:  Python 3.7.3 Shell
13:11:32:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:11:37:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:11:42:  data:, - Google Chrome
13:11:47:  注册 | 币安 - Google Chrome
13:11:52:  Python 3.7.3 Shell
13:12:02:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:12:07:  *Python 3.7.3 Shell*
13:12:12:  注册 | 币安 - Google Chrome
13:12:22:  Python 3.7.3 Shell
13:12:27:  weiboping.py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping.py (3.7.3)
13:12:32:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:12:37:  Python 3.7.3 Shell
13:12:42:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:12:52:  Save Before Run or Check
13:12:57:  data:, - Google Chrome
13:13:02:  注册 | 币安 - Google Chrome
13:14:12:  Python 3.7.3 Shell
13:14:17:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:14:32:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:14:52:  Save Before Run or Check
13:14:57:  data:, - Google Chrome
13:15:02:  注册 | 币安 - Google Chrome
13:14:12:  Python 3.7.3 Shell
13:14:17:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:14:32:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:14:52:  Save Before Run or Check
13:14:57:  data:, - Google Chrome
13:15:02:  注册 | 币安 - Google Chrome
13:15:37:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:15:42:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:15:47:  Save Before Run or Check
13:15:52:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:15:57:  无标题 - Google Chrome
13:16:02:  注册 | 币安 - Google Chrome
13:16:17:  Python 3.7.3 Shell
13:16:22:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:16:57:  *Python 3.7.3 Shell*
13:17:02:  https://accounts.binancezh.pro/cn/register - Google Chrome
13:17:07:  注册 | 币安 - Google Chrome
13:17:12:  https://accounts.binancezh.pro/cn/verification-register/email?email=2215828%40yopmail.com - Google Chrome
13:17:17:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:17:22:  *weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)*
13:18:07:  F:\小程序\weibopinglun\新建文件夹 (3)\chromedriver.exe
13:18:12:  注册 | 币安 - Google Chrome
13:18:27:  Python 3.7.3 Shell
13:18:37:  weiboping (2).py - F:\小程序\weibopinglun\新建文件夹 (3)\weiboping (2).py (3.7.3)
13:18:52:  data:, - Google Chrome
13:18:57:  注册 | 币安 - Google Chrome
13:19:22:  Python 3.7.3 Shell
