08:08:49:  新建文本文档.exe - 快捷方式
13:56:31:  D:\00-06\Thespace\trunk\Applications\ErrCode\ErrCode.h (trunk) - Sublime Text (UNREGISTERED)
13:56:36:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
13:57:51:  锁屏状态
13:57:56:  新建文本文档.exe - 快捷方式
13:58:01:  python 打包_百度搜索 - Google Chrome
13:58:16:  python 打包 程stu_百度搜索 - Google Chrome
13:58:31:  python 打包成安装_百度搜索 - Google Chrome
13:58:46:  python模块打包和安装_Python_jackllvv的博客-CSDN博客 - Google Chrome
13:58:51:  TCR调测工具 V3.07
13:58:16:  python 打包 程stu_百度搜索 - Google Chrome
13:58:31:  python 打包成安装_百度搜索 - Google Chrome
13:58:46:  python模块打包和安装_Python_jackllvv的博客-CSDN博客 - Google Chrome
13:58:51:  TCR调测工具 V3.07
14:00:09:  python模块打包和安装_Python_jackllvv的博客-CSDN博客 - Google Chrome
14:00:49:  TCR调测工具 V3.07
14:02:34:  python模块打包和安装_Python_jackllvv的博客-CSDN博客 - Google Chrome
14:02:39:  TCR调测工具 V3.07
14:03:44:  TCR调测工具 V3.36
14:03:49:  取款
14:03:54:  TCR调测工具 V3.36
14:04:44:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:05:09:  D:\00-06\Thespace\trunk\Applications\ErrCode\ErrCode.h (trunk) - Sublime Text (UNREGISTERED)
14:05:19:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:06:04:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:06:14:  D:\00-06\Thespace\trunk\Applications\MemoryConfig.h (trunk) - Sublime Text (UNREGISTERED)
14:06:29:  D:\00-06\Thespace\trunk\Applications\Instruction\InstrExecute.c (trunk) - Sublime Text (UNREGISTERED)
14:06:34:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:06:44:  收取邮件 - 张开发
14:06:49:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:06:54:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:07:04:  计算器
14:07:09:  D:\00-06\Thespace\trunk\Applications\MemoryConfig.h (trunk) - Sublime Text (UNREGISTERED)
14:07:14:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:07:19:  计算器
14:07:24:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:07:29:  D:\00-06\Thespace\trunk\Applications\Instruction\InstrExecute.c (trunk) - Sublime Text (UNREGISTERED)
14:07:34:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:07:49:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:07:54:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:08:24:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:08:39:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:08:49:  D:\00-06\Thespace\trunk\Applications\MemoryConfig.h (trunk) - Sublime Text (UNREGISTERED)
14:08:54:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:09:14:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:09:19:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:09:24:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:11:19:  钞箱传感器
14:11:24:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:11:39:  D:\00-06\Thespace\trunk\Middlewares\Sensor\Sensor.c (trunk) - Sublime Text (UNREGISTERED)
14:11:49:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:11:59:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:12:14:  D:\00-06\Thespace\trunk\Middlewares\Sensor\Sensor.c (trunk) - Sublime Text (UNREGISTERED)
14:12:19:  锁屏状态
14:12:24:  TCR调测工具 V3.36
14:13:14:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:13:19:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:13:24:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:13:29:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:13:39:  D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
14:13:44:  D:\00-06\Thespace\trunk\Middlewares\Sensor\Sensor.c (trunk) - Sublime Text (UNREGISTERED)
14:13:49:  钞箱传感器
14:13:54:  TCR调测工具 V3.36
14:14:39:  发送指令到K06
14:14:44:  钞箱传感器
14:14:49:  TCR调测工具 V3.36
14:15:54:  python 打包成安装_百度搜索 - Google Chrome
14:15:59:  错误码
14:16:04:  python 打包成安装_百度搜索 - Google Chrome
14:16:19:  网络错误
14:16:24:  错误码
14:16:29:  TCR调测工具 V3.36
14:17:29:  锁屏状态
14:17:34:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_RB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:17:49:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:18:09:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-3712-20200304081240\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_RB.EEP (trunk) - Sublime Text (UNREGISTERED)
14:18:19:  D:\00-06\Thespace\trunk\Middlewares\Sensor\Sensor.c (trunk) - Sublime Text (UNREGISTERED)
14:18:24:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:18:34:  取款
14:18:39:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
14:19:14:  LOG
14:19:19:  新建文本文档.exe - 快捷方式
14:19:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
14:19:49:  TCR调测工具 V3.36
14:19:54:  TCR调测工具 V3.07
14:19:59:  eSpace
14:20:04:  程明昌
14:20:19:  TCR调测工具 V3.07
14:21:24:  程明昌
14:21:29:  20200304
14:21:34:  程明昌
14:21:39:  新建文件夹 (2)
14:21:44:  PostWork
14:21:49:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:21:54:  程明昌
14:22:04:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:22:09:  新建文件夹 (2)
14:22:14:  管理员: C:\Windows\system32\cmd.exe
14:22:19:  文件检测python
14:22:24:  管理员: C:\Windows\system32\cmd.exe
14:22:34:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:22:39:  TCR调测工具 V3.07
14:22:44:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:23:59:  TCR调测工具 V3.07
14:24:14:  本地磁盘 (F:)
14:24:19:  文件共享
14:25:19:  新建文件夹 (2) 属性
14:25:24:  文件共享
14:25:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
14:26:39:  FwLib
14:26:44:  DebugConfig.h-revBASE.svn001.tmp.h <--> DebugConfig.h - 文本比较(T) - Beyond Compare
14:26:54:  FwLib
14:27:14:  Config
14:27:34:  DebugConfig.h~RF983065.TMP 属性
14:27:39:  BR-1-CashBox1T2
14:27:44:  FwLib 属性
14:27:49:  拒绝访问
14:27:54:  应用属性时出错
14:27:59:  BR-1-CashBox1T2
14:28:04:  00-06
14:28:09:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
14:28:09:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
14:31:10:  12
14:31:15:  dist
14:31:20:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
14:31:30:  dist
14:31:35:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:31:45:  *Python 3.7.3 Shell*
14:31:55:  Kill?
14:32:00:  新建文件夹 (2)
14:32:05:  Search Dialog
14:32:15:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:32:25:  Python打包可安装_百度搜索 - Google Chrome
14:32:30:  班车管理系统 - Google Chrome
14:32:35:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:32:45:  班车管理系统 - Google Chrome
14:33:05:  程明昌
14:33:10:  班车管理系统 - Google Chrome
14:33:25:  程明昌
14:33:35:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:34:05:  班车管理系统 - Google Chrome
14:34:10:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
14:34:15:  00-06
14:34:20:  DebugLog
14:34:25:  00-06
14:34:30:  FwLib
14:34:35:  8
14:34:40:  12
14:34:45:  00-06
14:34:50:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:35:20:  D:\00-06\12\Project\CashBox_1T2.uvprojx - μVision
14:35:30:  程明昌
14:35:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:36:05:  程明昌
14:36:10:  班车管理系统 - Google Chrome
14:36:15:  班车管理系统 [新北洋集团] - Google Chrome
14:37:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:37:15:  *Python 3.7.3 Shell*
14:37:20:  Kill?
14:37:25:  班车管理系统 - Google Chrome
14:37:35:  班车管理系统 [新北洋集团] - Google Chrome
14:37:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:38:00:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:38:10:  *Python 3.7.3 Shell*
14:38:30:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:38:40:  *Python 3.7.3 Shell*
14:38:55:  新标签页 - Google Chrome
14:39:00:  班车管理系统 - Google Chrome
14:39:05:  班车管理系统 [新北洋集团] - Google Chrome
14:39:10:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:39:50:  Python 3.7.3 Shell
14:39:55:  *Python 3.7.3 Shell*
14:40:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:40:10:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:40:25:  班车管理系统 - Google Chrome
14:40:35:  班车管理系统 [新北洋集团] - Google Chrome
14:41:05:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:41:30:  班车管理系统 [新北洋集团] - Google Chrome
14:41:35:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:41:40:  班车管理系统 [新北洋集团] - Google Chrome
14:41:55:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:42:40:  班车管理系统 [新北洋集团] - Google Chrome
14:42:50:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:42:55:  Python 3.7.3 Shell
14:43:00:  *Python 3.7.3 Shell*
14:43:15:  Kill?
14:43:20:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:43:25:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:44:05:  班车管理系统 [新北洋集团] - Google Chrome
14:44:10:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:44:20:  *Python 3.7.3 Shell*
14:44:30:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:44:35:  Save Before Run or Check
14:44:40:  *Python 3.7.3 Shell*
14:44:50:  Kill?
14:44:55:  *Python 3.7.3 Shell*
14:45:00:  班车管理系统 [新北洋集团] - Google Chrome
14:45:15:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:45:20:  *Python 3.7.3 Shell*
14:45:25:  Kill?
14:45:30:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:45:40:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:45:55:  班车管理系统 [新北洋集团] - Google Chrome
14:46:00:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c • (trunk) - Sublime Text (UNREGISTERED)
14:46:10:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:46:15:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c • (trunk) - Sublime Text (UNREGISTERED)
14:47:05:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:47:15:  *Python 3.7.3 Shell*
14:47:20:  Kill?
14:47:25:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:47:50:  Save Before Run or Check
14:47:55:  *Python 3.7.3 Shell*
14:48:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:48:10:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:48:20:  *Python 3.7.3 Shell*
14:48:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:48:50:  TCR调测工具 V3.07
14:49:05:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c • (trunk) - Sublime Text (UNREGISTERED)
14:49:20:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:49:30:  *Python 3.7.3 Shell*
14:49:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:49:50:  TCR调测工具 V3.07
14:49:55:  锁屏状态
14:50:00:  取款
14:50:05:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:50:10:  D:\00-06\Thespace\trunk\Applications\PlateCtrl\PlateCtrl.c • (trunk) - Sublime Text (UNREGISTERED)
14:50:45:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:50:55:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:51:00:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:51:05:  *Python 3.7.3 Shell*
14:51:15:  删除多个项目
14:51:20:  本地磁盘 (D:)
14:51:25:  记录
14:51:30:  管理员: C:\Windows\system32\cmd.exe
14:51:45:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:51:55:  TCR调测工具 V3.36
14:52:00:  TCR调测工具 V3.07
14:52:05:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:52:20:  记录
14:52:25:  新建文件夹 (2)
14:52:30:  %HOMEDRIVE%%HOMEPATH%
14:52:35:  新建文件夹 (2)
14:52:40:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:52:45:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:52:55:  .idlerc
14:53:00:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:53:05:  dist
14:53:15:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
14:53:20:  TCR调测工具 V3.07
14:53:30:  管理员: C:\Windows\system32\cmd.exe
14:53:35:  PostWork
14:53:40:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
14:53:45:  PostWork
14:53:50:  dist
14:53:55:  程明昌
14:54:30:  TCR调测工具 V3.07
14:54:50:  PostWork
14:55:15:  TCR调测工具 V3.07
14:55:20:  取款
14:55:25:  班车管理系统 [新北洋集团] - Google Chrome
14:55:35:  TCR调测工具 V3.36
14:55:55:  程明昌
14:56:05:  eSpace
14:56:15:  「开始」菜单
14:56:20:  运行
14:56:25:  Startup
14:56:30:  程明昌
14:57:50:  锁屏状态
14:57:55:  班车管理系统 - Google Chrome
14:58:05:  班车管理系统 [新北洋集团] - Google Chrome
14:58:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
14:58:15:  TCR调测工具 V3.36
14:58:20:  TCR调测工具 V3.07
14:58:25:  PostWork
14:58:55:  新建文件夹 (2)
14:59:00:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:59:35:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
14:58:05:  班车管理系统 [新北洋集团] - Google Chrome
14:58:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\ErrCode\ErrCode.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
14:58:15:  TCR调测工具 V3.36
14:58:20:  TCR调测工具 V3.07
14:58:25:  PostWork
14:58:55:  新建文件夹 (2)
14:59:00:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
14:59:35:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:00:48:  Save Before Run or Check
15:00:53:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:00:58:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:01:18:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:01:23:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:01:28:  Kill?
15:01:33:  删除多个项目
15:01:38:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:01:43:  新建文件夹 (2)
15:01:53:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:02:03:  新建文件夹 (2)
15:02:18:  C:\Windows\py.exe
15:02:23:  新建文件夹 (2)
15:02:38:  config.ini - 记事本
15:02:43:  记事本
15:02:48:  C:\Windows\py.exe
15:02:53:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:02:58:  新建文件夹 (2)
15:03:03:  回收
15:03:08:  记录
15:03:13:  文件检测python
15:03:18:  管理员: C:\Windows\system32\cmd.exe
15:03:28:  TCR调测工具 V3.07
15:03:38:  程明昌
15:03:43:  新标签页 - Google Chrome
15:03:48:  班车管理系统 - Google Chrome
15:03:53:  班车管理系统 [新北洋集团] - Google Chrome
15:04:03:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
15:04:53:  TCR调测工具 V3.07
15:05:03:  取款
15:05:08:  文件检测python
15:05:13:  新建文件夹 (2)
15:05:18:  PostWork
15:05:23:  新建文件夹 (2)
15:05:28:  PostWork
15:05:33:  config.ini - 记事本
15:05:43:  F:\新建文件夹 (2)\dist\PostWork\PostWork.exe
15:05:53:  锁屏状态
15:05:58:  新标签页 - Google Chrome
15:06:03:  班车管理系统 - Google Chrome
15:06:13:  班车管理系统 [新北洋集团] - Google Chrome
15:06:23:  PostWork
15:06:33:  新标签页 - Google Chrome
15:06:38:  班车管理系统 - Google Chrome
15:06:43:  班车管理系统 [新北洋集团] - Google Chrome
15:08:58:  TCR调测工具 V3.36
15:09:08:  取款
15:09:13:  TCR调测工具 V3.36
15:09:18:  Progress Telerik Fiddler Web Debugger
15:09:23:  TCR调测工具 V3.07
15:09:28:  班车管理系统 [新北洋集团] - Google Chrome
15:09:38:  Progress Telerik Fiddler Web Debugger
15:10:03:  班车管理系统 [新北洋集团] - Google Chrome
15:10:23:  Progress Telerik Fiddler Web Debugger
15:11:43:  班车管理系统 [新北洋集团] - Google Chrome
15:11:48:  新标签页 - Google Chrome
15:11:53:  TCR调测工具 V3.07
15:11:58:  新标签页 - Google Chrome
15:12:03:  百度一下，你就知道 - Google Chrome
15:12:08:  Unicode编码转换 - 站长工具 - Google Chrome
15:12:18:  Progress Telerik Fiddler Web Debugger
15:12:23:  Unicode编码转换 - 站长工具 - Google Chrome
15:12:28:  转码_百度搜索 - Google Chrome
15:12:38:  python unicode_百度搜索 - Google Chrome
15:12:43:  TCR调测工具 V3.07
15:13:23:  python与unicode_Python_qq_21508059的博客-CSDN博客 - Google Chrome
15:13:28:  TCR调测工具 V3.07
15:14:43:  python与unicode_Python_qq_21508059的博客-CSDN博客 - Google Chrome
15:15:28:  新建文件夹 (2)
15:15:38:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:15:48:  Save Before Run or Check
15:15:53:  *Python 3.7.3 Shell*
15:16:03:  python与unicode_Python_qq_21508059的博客-CSDN博客 - Google Chrome
15:16:13:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:16:18:  Save Before Run or Check
15:16:23:  Python 3.7.3 Shell
15:16:28:  python unicode_百度搜索 - Google Chrome
15:16:33:  Python unicode 和 str 相互转化_Python_CatStarXcode的博客-CSDN博客 - Google Chrome
15:16:53:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:16:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:17:03:  Python 3.7.3 Shell
15:17:08:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:17:13:  Python 3.7.3 Shell
15:17:18:  Python unicode 和 str 相互转化_Python_CatStarXcode的博客-CSDN博客 - Google Chrome
15:17:48:  python unicode_百度搜索 - Google Chrome
15:17:58:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:18:13:  TCR调测工具 V3.07
15:18:18:  Python 3.7.3 Shell
15:18:23:  python 中文转Unicode编码 & Unicode编码转中文_Python_Refrain__WG的博客-CSDN博客 - Google Chrome
15:18:33:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:18:38:  *Python 3.7.3 Shell*
15:18:48:  python 中文转Unicode编码 & Unicode编码转中文_Python_Refrain__WG的博客-CSDN博客 - Google Chrome
15:18:53:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:18:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:19:03:  *Python 3.7.3 Shell*
15:19:08:  Progress Telerik Fiddler Web Debugger
15:19:18:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:19:33:  *Python 3.7.3 Shell*
15:19:38:  Python 3.7.3 Shell
15:19:43:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:19:48:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:20:08:  *Python 3.7.3 Shell*
15:20:13:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:20:23:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:20:28:  *Python 3.7.3 Shell*
15:20:33:  Save Before Run or Check
15:20:38:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:20:43:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:20:48:  Save Before Run or Check
15:20:53:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:21:03:  锁屏状态
15:21:08:  Progress Telerik Fiddler Web Debugger
15:21:13:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:21:23:  Progress Telerik Fiddler Web Debugger
15:21:43:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:22:03:  *Python 3.7.3 Shell*
15:22:08:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:22:13:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:22:18:  SyntaxError
15:22:23:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:22:28:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:22:38:  *Python 3.7.3 Shell*
15:22:43:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:22:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:23:03:  SyntaxError
15:23:08:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:23:13:  python 中文转unicode_百度搜索 - Google Chrome
15:23:18:  python 双斜杠_百度搜索 - Google Chrome
15:23:28:  python 编码 自动加双斜杠问题 - 彩色条纹小斑马 - 博客园 - Google Chrome
15:23:58:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:24:08:  Save Before Run or Check
15:24:18:  TCR调测工具 V3.07
15:24:33:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:24:43:  *Python 3.7.3 Shell*
15:24:48:  Progress Telerik Fiddler Web Debugger
15:24:58:  PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)
15:25:03:  *PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*
15:25:33:  新建文件夹 (2)
15:25:38:  提示
15:25:43:  本地磁盘 (D:)
15:25:48:  文件检测python
15:25:53:  管理员: C:\Windows\system32\cmd.exe
15:26:08:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
15:26:18:  新标签页 - Google Chrome
15:26:28:  192.168.28.228 - Google Chrome
15:26:38:  班车管理系统 - Google Chrome
15:26:48:  班车管理系统 [新北洋集团] - Google Chrome
15:27:08:  管理员: C:\Windows\system32\cmd.exe - pyinstaller  -D PostWork.py
15:27:13:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\Log\2020-03-04.txt
15:27:28:  eSpace
15:27:33:  程明昌
15:27:43:  dist
15:27:53:  TCR调测工具 V3.07
15:28:03:  dist
15:28:08:  PostWork 属性
15:28:13:  dist
15:28:18:  新建文件夹 (2)
15:28:23:  PostWork
15:28:33:  重命名
15:28:38:  PostWork
15:28:43:  config.ini - 记事本
15:28:48:  PostWork
